"CMCII_Institution","Sector","SERVICE","CII_Name","CII_Type","Description","Location","Dependencies (Upstream/Downstream Asset)","Ownership (Public, Private, Hybrid)","Custodian","Geolocation Parameters","Status (A/C/R)","Impact Users Affected (0-4)","Economic Impact (1-4)","Recovery Time (1-4)","Availability of Alternatives (1-4)","Cross-sector Dependencies (1-4)","Score","Tier"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","CSPRO","Data","Data collection","GBoS office","internet,etranet,electricity/citizen personnel information","Public","GBoS","Whole Gambia","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","Veeam Backup Server","Data","Backup system","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Wholesale distribution","Server Room","Facilities","It houses all the Servers","GNPC","Power, Internet/Bulk Supply App, MySQL, Office Operations","GNPC","GNPC","C75C+4F3, Bijilo","Active","1","4","4","2","2","13","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Provision of humane living conditions","CCTV & Perimeter Security Systems","Hardware and Computing Infrastructure","Surveillance cameras, biometric access, alarms to monitor escapes","Mile II","Upstream: Gov ICT infrastructure; Downstream: GPS Security HQ, MoI","Public","GPS Security & ICT","Installed in prisons","Retired","3","2","3","2","3","13","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port operations and management","SQL database ","Data","Database","Gambia Ports Authority, Banjul","Server room, LAN, Power supply","Gambia Ports Authority ","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active ","3","1","3","2","3","12","Tier-2"
"Gambia Submarine Cable Landing Station (GSC)","Information and Communications","Cable Station Operation","Databases,Backup","Data","","GSC Office","Data center","GSC","GSC","C77J+8HC","Active","3","1","4","1","1","10","Tier-2"
"DK Telecom","Information and Communications","Business Communications Services ","PoE ","Hardware and Computing Infrastructure","Connectivity","Home, Offices, Workstation","Internet, Subscription, and Liscence","DK Telecom","DK Telecom","C768+PQ Bijilo","Active","2","2","3","3","4","14","Tier-2"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Broadcast News","Adobe Master Collection","Software Systems","Editing","Editing unit","WINDOWS 10 AND WINDOWS 11/TV PROGRAMS, NEWS STORIES,NEWS BULETTING","PRIVATE","GRTS","F86C+8Q9, Serrekunda","Active","1","1","4","3","2","11","Tier-2"
"Central Bank of The Gambia (CBG)","Banking and Finance","Banking supervision and regulation","BSD General","Data","Local database for bank returns, analysis, supersision and regularory relted data","","-Power
- Core Network infrastructure
-LAN
-WAN
-Internet
- laptop/desktop","CBG","BSD","FC3G+9Q, Banjul","Active","2","4","2","1","3","12","Tier-2"
"Medical and Dental Council (MDCG)","Health and Well‐Being","Registers practitioners and Sets professional standards","web server, Workstation, Power and Cooling System, Storage Facilities","Hardware and Computing Infrastructure","General Service Provider","work stations, MDCG","work stations
internet
power supply","MDCG","Operations","F88H+C4X","Active","4","1","1","1","3","10","Tier-2"
"PURA & GmCSIRT","Information and Communications","Alerts & Advisories","Routers","Hardware and Computing Infrastructure","Routers are network devices that forward data packets between networks, directing traffic efficiently.","gmCSIRT Office, Abuko Earth Station, Abuko","ISP Links, Power Supply, End-User devices","PURA","PURA","Latitude ~13.404°, Longitude ~−16.656°","Active","4","4","4","1","1","14","Tier-2"
"PURA & GmCSIRT","Information and Communications","Alerts & Advisories","ACs","Hardware and Computing Infrastructure","Air conditioning systems maintain optimal temperature and humidity to ensure reliable operation of IT equipment.","gmCSIRT Office, Abuko Earth Station, Abuko","Power supply, Server room","PURA","PURA","Latitude ~13.404°, Longitude ~−16.656°","Active","4","2","1","4","1","12","Tier-2"
"PURA & GmCSIRT","Information and Communications","Pentesting of DFS applications","Router","Hardware and Computing Infrastructure","Routers are network devices that forward data packets between networks, directing traffic efficiently.","gmCSIRT Office, Abuko Earth Station, Abuko","ISP Links, Power Supply, End-User devices","PURA","PURA","Latitude ~13.404°, Longitude ~−16.656°","Active","4","4","4","1","1","14","Tier-2"
"PURA & GmCSIRT","Information and Communications","Pentesting of DFS applications","Mobile Feature Phone","Hardware and Computing Infrastructure","A basic mobile device with limited computing and communication capabilities, used for calls, SMS, and essential services.","gmCSIRT Office, Abuko Earth Station, Abuko","WI-Fi","PURA","PURA","Latitude ~13.404°, Longitude ~−16.656°","Active","4","2","1","4","1","12","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port Logistics coordination","Storage","Hardware and Computing Infrastructure","storage Solution","Gambia Ports Authority, Banjul","OS, power,cabling","
Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","3","3","3","3","2","14","Tier-2"
"Social Security and Housing Finance Corporation (SSHFC)","Banking and Finance","Pension fund management","NAVISON","Software Systems","Entreprise Resource Planner ","Headquarters","FMS,HRMS ,MSSQL SERVER","PRIVATE","SSHFC","FC3G+3X","Active","3","3","2","3","3","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","IT office","Facilities","IT operation","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","Biomery Access control","Hardware and Computing Infrastructure","Access control","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","Fileserver","Hardware and Computing Infrastructure","File server","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port operations and management","PFsense","Software Systems","Network Security ","Gambia Ports Authirty, Banjul","Power, LAN","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","2","2","2","2","3","11","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Wholesale distribution","DNS server","Hardware and Computing Infrastructure","The server where the DNS records are stored","GNPC","Power, Intranet, Internet/ Local Name Resolution, Internet","GNPC","GNPC","C75C+4F3, Bijilo","Active","1","3","4","1","1","10","Tier-2"
"Central Bank of The Gambia (CBG)","Banking and Finance","Other financial Institutions spervision and regulation","Local file server","Data","Local database for financial institution returns, analysis, supersision and regularory relted data","CBG Datacenter","-Power
- Core Network infrastructure
-LAN
-WAN
-Internet
- laptop/desktop","CBG","MSD
ISD
FFBSD
ICTD","FC3G+9Q, Banjul","Active","2","3","2","2","4","13","Tier-2"
"Central Bank of The Gambia (CBG)","Banking and Finance","Open Market Operations","File Server","Data","repository for trade data, historical market records, and OMO performance analysis.","CBG Data Center","","Private","BPSD, ICTD","FC3G+9Q, Banjul","Active","2","3","2","2","4","13","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","CCTV camera","Hardware and Computing Infrastructure","security Monitory","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","Cisco Routers","Networks and Communication","Internet access","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","Cisco swtihes","Networks and Communication","Internet access","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","inverter Battery backup","Hardware and Computing Infrastructure","Battery backup","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","power and cooling system","Hardware and Computing Infrastructure","Cooling system","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","Fortigates firewall","Hardware and Computing Infrastructure","security device","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","Internet Conncetion","Networks and Communication","Internet","Gambia","Electricity/GBoS operation,microsoft exchange server(official email) Public IPs connection","Private","GBoS","Whole Gambia","Active","3","3","3","3","2","14","Tier-2"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","LAN and WAN","Networks and Communication","Internal and wide area network linking HQ, regional offices, and partners","WAPIS DACORE, JOC Building Bjilo","Routers, Switches, Firewalls","Public","GPF Facilities Management","Bijilo, The Gambia","Active","3","3","3","2","2","13","Tier-2"
"National Audit Office (NAO)","General Government","Financial Audits of Government Dept SOEs & Agency","Switch","Networks and Communication","connective to the LAN","NAO Head Office, Kanifing Industrial Layout","network availability, electricity","NAO","NAO - IT","F88F+4MP","Active","4","2","3","1","4","14","Tier-2"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","WAPIS Facilities (Office & Server Room)","Facilities","Secure offices & server rooms supporting WAPIS","WAPIS DACORE, JOC Building Bjilo","Power, Security Access Control","Public","GPF Facilities Management","Bijilo, The Gambia","Active","3","3","3","2","2","13","Tier-2"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Licensing & Registration","Quick Books","Software Systems","Records all Finacial entries","Cloud","1. Power
2. Laptops
3. Bank Deposit Slips","PCG","The Executives","Cloud","Active","2","2","2","2","2","10","Tier-2"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Licensing & Registration","Network Switches","Hardware and Computing Infrastructure","For internet connectivity","PCG Secretariat","Laptops, mobile phones","PCG","PCG","98F4+63Q","Active","4","3","2","3","2","14","Tier-2"
"Gam Petroleum (GP)","Power, Energy and Water","Price stabilization support","International Price Monitoring","Data","Know the fuel price at international market","Mandinari Depot","Internet, Laptop\Desktop","GamPetroleum","GamPetroleum - OPS","9C8C+8P5, Mandinari","Active","4","2","3","2","3","14","Tier-2"
"Food Safety and Quality Authority (FSQA)","Food, Agriculture and Environment","Quality assurance systems","Router","Hardware and Computing Infrastructure","Network Communcation","FSQA Office","Power, Cooling, Rack, Cabling","FSQA","FSQA","F88F+Q54","Active","1","1","4","2","2","10","Tier-2"
"Food Safety and Quality Authority (FSQA)","Food, Agriculture and Environment","Quality assurance systems","Switches","Hardware and Computing Infrastructure","Network Communcation","FSQA Office","Power, Cooling, Rack, Cabling","FSQA","FSQA","F88F+Q54","Active","1","1","4","2","2","10","Tier-2"
"Food Safety and Quality Authority (FSQA)","Food, Agriculture and Environment","Quality assurance systems","Documentation Office","Data","Data & Records Management","FSQA Office","Workstation, License, Power","FSQA","FSQA","F88F+Q54","Active","1","1","4","3","1","10","Tier-2"
"The Gambia Judiciary","Justice and Legal Affairs","Record of Proceedings","SERVER","Hardware and Computing Infrastructure","Provides active directory services and other services to connected client computers","IT Unit","NA","Judiciary","IT - Judiciary","13.459836, -16.581277","Active","1","2","4","4","1","12","Tier-2"
"The Gambia Judiciary","Justice and Legal Affairs","Record of Proceedings","QSoft Denovo Transcription Software","Software Systems","Handles recording of audio and video recording of court proceedings, and also generates transcripts with good degree of accuracy","Court Room","Licensing, Internet and Power supply","Hybrid","IT - Judiciary","13.459836, -16.581277","Active","1","2","4","2","3","12","Tier-2"
"The Gambia Judiciary","Justice and Legal Affairs","Record of Proceedings","Active Directory Users and Computers","Software Systems","For management users, access and file sharing.","IT Unit","Internet, LAN, Power supply","private, judiciary","IT - Judiciary","13.459836, -16.581277","Active","1","1","4","2","2","10","Tier-2"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Registration and Regulation of Pharmacist and Pharmacy Support Personnel","Practice Certificates","Data","Official certificates issued to approved registrants.","PCG Secretariat","1. Pharmacy Degree Certificates (Pharmacists)
2. Diploma Certs/Attestations (Pharmacy Technicians and Dispensing Assistants)
3. State Registered Nurses (SRN) certificates of Nurses from 2001 below
4. Verification of course completion from institution
5. I","Public","PCG Receptionist","98F4+63Q","Active","4","3","2","3","2","14","Tier-2"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Registration and Regulation of Pharmacist and Pharmacy Support Personnel","Verification Reports","Data","Used to validate credentials and eligibility before registration.","PCG Secretariat","Dependent on:
1 Educational Institutions
2. HR Data
3. Previous year practice certificates issued for renewals
4. CPD certificates for renewals","PCG","PCG Admin Officer","98F4+63Q","Active","4","3","3","2","2","14","Tier-2"
"National Assembly (NA)","General Government","Representation","Internet Conncetion","Networks and Communication","For internet Connection ","Gamtel","Gamtel ","Public","Gamtel","Banjul Gamtel house","Active ","2","2","2","2","2","10","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Retail Services","POS Scanners","Hardware and Computing Infrastructure","Used for redeeming electronic coupons","Gas Stations","Power, Internet/ My Easy Fuel","Hybrid","GNPC","C75C+4F3, Bijilo","Active","2","2","2","2","2","10","Tier-2"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Licensing & Registration","Compliance and inspection history","Data","To make sure all pharmacy premises go by the PCG Act and Regulations","PCG Secretariat/Nationawide","1. Laptops
2. Routine Inspection Forms
3. Closure Forms
4. Padlocks
5. Motor Vehicle
6. Fuel
7. Mobile Phones","Public (PCG)","PCG","98F4+63Q
Nationwide","Active","4","3","3","2","2","14","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Retail Services","Fuel Depensers","Facilities","For pumping fuel","GNPC Gas Stations","Fuel Supply, Power/ General Public","GAMPETROLUEM/ GPS (DEPOT)","GAMPETROLUEM/ GPS (DEPOT)","","Active","2","3","2","3","3","13","Tier-2"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Licensing & Registration","Internet","Networks and Communication","Connectivity","PCG Secretariat
","Laptop, Mobile phones","PCG","PCG","98F4+63Q","Active","4","3","2","2","2","13","Tier-2"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Inspections & Compliance Monitoring"," List of licensed pharmacies","Data","Pharmacy database","PCG Secretariat
","Excel Spreadsheet","PCG","PCG","98F4+63Q","Active","4","3","2","2","3","14","Tier-2"
"Gambia Armed Forces (GAF)","National Defense and Security","Military security operations","Radio Communication System","Networks and Communication","Is a voice communication system that sends and recieves information within all units under GAF","Within all Units of GAF","Gamtel","Private","Gambia Armed Forces","Gambia (Within all Units of GAF)","Active","4","2","3","1","1","11","Tier-2"
"Central Bank of The Gambia (CBG)","Banking and Finance","Monetary policy implementation","E-Views, Matlab","Software Systems","statistical and econometrics modelling softwares","Locally installed on Laptops/desktops","Laptop/desktop, Internet","CBG","ERD","FC3G+9Q, Banjul","Active","2","4","2","1","3","12","Tier-2"
"Central Bank of The Gambia (CBG)","Banking and Finance","Monetary policy implementation","Economists, Statisticians","Human","Staff conducting research, policy formulation, forecasting, and financial stability analysis.","CBG HQ","-Power
-LAN
-laptop/desktop
-Datawarehouse
-Temenos t24, Vregcoss
-Matlab, eviews, Monetary policy data 
","CBG","ERD","FC3G+9Q, Banjul","Active","2","4","2","2","4","14","Tier-2"
"Central Bank of The Gambia (CBG)","Banking and Finance","Monetary policy implementation","CBG Datawarehouse","Software Systems","centralized repository that stores large volumes of economic, financial, and market data.","Cloud","Internet","CBG","ERD","","Active","1","4","2","2","4","13","Tier-2"
"National Assembly (NA)","General Government","Oversight","OSB","Software Systems","Enable us to live stream ","National Assembly ","Workstation","National Assembly","Nattional Assembly","National Assembly ICT","Active","2","2","2","2","2","10","Tier-2"
"National Assembly (NA)","General Government","Oversight","Youtube Facebook and twitter","Software Systems","Taking assembly to the people ","Cloud","Cloud","National Assembly","Assembly and Donors","Cloud","Active","3","3","2","2","2","12","Tier-2"
"National Assembly (NA)","General Government","Oversight","Control Room","Networks and Communication","Essay of communications and accountability ","National Assembly","Cloud","National Assembly","National Assembly SKY Telecom","","Active","2","2","2","2","2","10","Tier-2"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","finex database","Data","For daily financial transactions of GFS","GFS","Server, client computers, power, Network","GFS","DT Associates","Serrekunda","Active","2","3","3","2","3","13","Tier-2"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","collectors","Human","interacting with passengers and issuing tickets","GFS","Computers, printers","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","4","3","2","2","3","14","Tier-2"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","CCTV","Hardware and Computing Infrastructure","surveillance, monitoring, evedence collection","GFS","Power, network, network cables","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","1","1","2","3","3","10","Tier-2"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","Wave","Software Systems","selling tickets through ferries wave account","cloud","Mobile, Internet, ","WAVE","WAVE Gambia","F74W+FH8, OIC Rd, Serrekunda","Active","2","2","4","2","3","13","Tier-2"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","web and e-mail services","Software Systems","staff correspondance and public information","cloud","computers, mobile, power","GFS","JUST HOST","CLOUD","Active","1","2","4","2","3","12","Tier-2"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","weighing database","Data","record all ticketing Transaction (passengers, vehicles, freigh)","GFS","Computer, power, weighing scale","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","4","3","4","2","1","14","Tier-2"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","Router and switches","Hardware and Computing Infrastructure","Internal and External network Connectivity","GFS","Power,Network cables,wifi, firewall,IP address, computer","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","3","3","4","1","1","12","Tier-2"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","Terminal waiting lodge","Facilities","A Ferry waiting lodge for Passengers","GFS","Power, Televisoin, Pa system, wifi","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","4","3","1","1","3","12","Tier-2"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","Lan and wan","Networks and Communication","local and internet connectivity","GFS","Routers, Switches, network cables, nano station (PTP) Wireless, fiber optic ","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","2","2","4","1","3","12","Tier-2"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Inspections & Compliance Monitoring","Mobile networks","Networks and Communication","Communications","PCG Secretariat
","Internet, power","PCG","PCG","98F4+63Q","Active","3","2","2","2","1","10","Tier-2"
"Gambia National Petroleum Company (GNPC) ","Power, Energy and Water","Retail Services","Battery Bank","Hardware and Computing Infrastructure","To power Fuel despenser and CCTV when eletricity goes off","Gas Stations","Power/ Office Operations","GNPC","GNPC","C75C+4F3, Bijilo","Active","2","2","2","2","2","10","Tier-2"
"DK Telecom","Information and Communications","Software Development","Servers","Facilities","Data Storage ","Workstation, Bijilo","Energy, PoE, Engineers, Adminstrators","DK Telecom","DK Telecom","C768+PQ Bijilo","Active","2","2","3","3","4","14","Tier-2"
"DK Telecom","Information and Communications","Software Development","bluehost","Data","Networking monitoring ","Staff Laptop","Monitoring
Internet, Servers, Liscence, Subcriptions","DK Telecom","DK Telecom","C768+PQ Bijilo","Active","3","2","3","2","3","13","Tier-2"
"Gam Ferries Services (GFS)","Transport","Vehicle transport","Weighing Scale","Hardware and Computing Infrastructure","weighing of vehicles","GFS","Power, weighing shells, cables, indicator, computer","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","3","3","1","3","3","13","Tier-2"
"Gam Ferries Services (GFS)","Transport","Vehicle transport"," Indicator","Hardware and Computing Infrastructure","recording of tonnage from the weighing scale","GFS","power, weighing scale, computer, cable","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","3","3","1","3","3","13","Tier-2"
"Gamcel","Information and Communications","Voice Services","Switches & Routers","Hardware and Computing Infrastructure","helps in interconnection","Brusubi complex","","Private","Gamcel","Brusubi complex","Active","4","3","1","4","1","13","Tier-2"
"Gamcel","Information and Communications","Voice Services","Server room","Hardware and Computing Infrastructure","To house networks devices","Brusubi Complex","","Private","Gamcel","Brusubi complex","Active","4","3","1","4","1","13","Tier-2"
"Gamcel","Information and Communications","Voice Services","Cooling","Hardware and Computing Infrastructure","Provide cooling","Brusubi complex","","Private","Gamcel","Brusubi complex","Active","4","3","1","4","1","13","Tier-2"
"Gamcel","Information and Communications","Voice Services","PCM","Networks and Communication","To provide connectivity","Brusubi Complex","","Private","Gamcel","Brusubi complex","Active","4","3","1","4","1","13","Tier-2"
"Gamcel","Information and Communications","Voice Services","HSS","Hardware and Computing Infrastructure","Cetralized/ Main database","Brusubi complex","","Private","Gamcel","Brusubi complex","Active","4","3","1","4","1","13","Tier-2"
"Gamcel","Information and Communications","Voice Services","UMG","Networks and Communication","Provide connectivity to other networks","Brusubi Complex","","Private","Gamcel","Brusubi complex","Active","4","3","1","4","1","13","Tier-2"
"Gamcel","Information and Communications","Voice Services","MsoftX3000","Hardware and Computing Infrastructure","To provide service routing","Brusubi complex","","Private","Gamcel","Brusubi complex","Active","4","3","1","4","1","13","Tier-2"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Water quality Monitoring","Emails","Networks and Communication","For sending reports","WSBU HQ,Treatment Centers","Power, Computer, Internet, Licenses etc","NAWEC","IT, WSBU","","Active","3","2","3","1","2","11","Tier-2"
